@RELATION "Wines dataset"

@ATTRIBUTE name STRING
@ATTRIBUTE price NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE country STRING
@ATTRIBUTE region STRING
@ATTRIBUTE sweetness {dry, semi-dry, semi-sweet, sweet}
@ATTRIBUTE grape STRING
@ATTRIBUTE manufacturer STRING
@ATTRIBUTE strength NUMERIC
@ATTRIBUTE volume NUMERIC

@DATA
'Vino Sassi Chiusi, Bertinga, 2017',4118,4.6,Italija,Toskana,dry,'merlo 15\%',Bertinga,14.0,0.75
'Vino Wallufer Walkenberg Riesling Auslese Trocken, J. B. Becker, 2007',14490,0.0,Germanija,Rejngau,semi-dry,'risling 100\%','J. B. Becker',14.5,0.75
'Vino Petit Chablis, Jean-Marc Brocard (Domaine Sainte-Claire), 2022',4990,4.4,Frantsija,Burgundija,dry,'shardone 100\%','Jean-Marc Brocard (Domaine Sainte-Claire)',12.0,0.75
'Vino Condado de Oriza Crianza, Pagos del Rey, 2019',1533,4.5,Ispanija,'Kastilija i Leon',dry,'tinto fino 100\%','Pagos del Rey',14.0,0.75
'Vino Valpolicella Classico, Domini Veneti, 2023',2790,4.4,Italija,Veneto,semi-dry,korvinone,'Domini Veneti',13.0,0.75
'Vino Chateau La Grave, Jean-Pierre Moueix, 2011',11990,0.0,Frantsija,Bordo,dry,'kaberne fran 15\%','Jean-Pierre Moueix',14.0,0.75
'Vino Vega del Campo Verdejo',1490,4.3,Ispanija,?,dry,verdeho,'Vega del Campo',12.0,0.75
'Vino Chablis Grand Cru Valmur, Jean-Marc Brocard (Domaine Sainte-Claire), 2022',18490,4.8,Frantsija,Burgundija,dry,'shardone 100\%','Jean-Marc Brocard (Domaine Sainte-Claire)',13.0,0.75
'Vino Hacienda Lopez de Haro Crianza, 2019',1190,4.5,Ispanija,Rioha,dry,grasiano,'Hacienda Lopez de Haro',13.5,0.75
'Vino Green Soul Riesling Organic, Weinkellerei Hechtsheim, 2023',1790,4.6,Germanija,Rejngessen,semi-dry,'risling 100\%','Weinkellerei Hechtsheim',11.0,0.75
'Vino Barbera d’Asti Leradici, Mauro Molino, 2022',3790,4.6,Italija,'P\'emont',dry,'barbera 100\%','Mauro Molino',15.5,0.75
'Vino Sedara, Donnafugata, 2021',2790,4.6,Italija,Sitsilija,dry,sira,Donnafugata,13.5,0.75
'Vino Vin Blanc de Palmer, Chateau Palmer, 2021',49990,3.0,Frantsija,Bordo,dry,'sovin\'on gri','Chateau Palmer',12.5,0.75
'Vino Hacienda Lopez de Haro Reserva v podarochnoj upakovke, 2016, 1.5 l',6293,4.3,Ispanija,Rioha,dry,grasiano,'Hacienda Lopez de Haro',14.0,1.5
'Vino Tenuta Regaleali Cabernet Sauvignon Vigna San Francesco v podarochnoj upakovke, Tasca d\'Almerita, 2018, 1.5 l',22490,5.0,Italija,Sitsilija,dry,'kaberne sovin\'on 100\%','Tasca d\'Almerita',14.0,1.5
